Fullmetal Alchemist: Brotherhood	64	Apr 2009 - Jul 2010	589753
Steins;Gate	24	Apr 2011 - Sep 2011	489879
Gintama'	51	Apr 2011 - Mar 2012	111565
GintamaÂ°	306	Apr 2015 -	53379
Hunter x Hunter 2011)	148	Oct 2011 - Sep 2014	276089
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare	1	Jul 2013 - Jul 2013	50224
Clannad: After Story	24	Oct 2008 - Mar 2009	363191
Ginga Eiyuu Densetsu	OVA 110 	Jan 1988 - Mar 1997	60587
Gintama': Enchousen	13	Oct 2012 - Mar 2013	57897
Gintama	201	Apr 2006 - Mar 2010	260313
One Punch Man	12	Oct 2015 - Dec 2015	264407
Code Geass: Hangyaku no Lelouch R2	25	Apr 2008 - Sep 2008	456088
Shigatsu wa Kimi no Uso	22	Oct 2014 - Mar 2015	244988
Sen to Chihiro no Kamikakushi	1	Jul 2001 - Jul 2001	354649
Mushishi Zoku Shou 2nd Season	10	Oct 2014 - Dec 2014	47824
Haikyuu!! Second Season	25	Oct 2015 -	75938
Hajime no Ippo	75	Oct 2000 - Mar 2002	119212
Ookami Kodomo no Ame to Yuki	1	Jul 2012 - Jul 2012	153498
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuiokuhen	4	Feb 1999 - Sep 1999	105704
Suzumiya Haruhi no Shoushitsu	1	Feb 2010 - Feb 2010	191482
Code Geass: Hangyaku no Lelouch	25	Oct 2006 - Jul 2007	566986
Cowboy Bebop	26	Apr 1998 - Apr 1999	376071
Monogatari Series: Second Season	26	Jul 2013 - Dec 2013	150688
Mononoke Hime	1	Jul 1997 - Jul 1997	257257
Tengen Toppa Gurren Lagann	27	Apr 2007 - Sep 2007	442745
Great Teacher Onizuka	43	Jun 1999 - Sep 2000	215304
Mushishi	26	Oct 2005 - Jun 2006	231981
Mushishi Zoku Shou	10	Apr 2014 - Jun 2014	72582
Boku dake ga Inai Machi	12	Jan 2016 - Mar 2016	92747
Fate/Zero 2nd Season	12	Apr 2012 - Jun 2012	252842
Hajime no Ippo: New Challenger	26	Jan 2009 - Jul 2009	68491
Natsume Yuujinchou Shi	13	Jan 2012 - Mar 2012	73989
Death Note	37	Oct 2006 - Jun 2007	781271
Monster	74	Apr 2004 - Sep 2005	185739
Bakuman. 3	25	Oct 2012 - Mar 2013	102366
Howl no Ugoku Shiro	1	Nov 2004 - Nov 2004	262322
Hajime no Ippo: Rising	25	Oct 2013 - Mar 2014	46489
Kara no Kyoukai 5: Mujun Rasen	1	Aug 2008 - Aug 2008	92100
Mushishi Zoku Shou: Suzu no Shizuku	1	May 2015 - May 2015	16510
Aria The Origination	13	Jan 2008 - Apr 2008	45808
Kuroko no Basket 3rd Season	25	Jan 2015 - Jun 2015	117340
Ping Pong The Animation	11	Apr 2014 - Jun 2014	65348
Haikyuu!!	25	Apr 2014 - Sep 2014	166548
Natsume Yuujinchou San	13	Jul 2011 - Sep 2011	77271
Shokugeki no Souma	24	Apr 2015 - Sep 2015	194406
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	11	Apr 2011 - Jun 2011	349677
Kuroko no Basket 2nd Season	25	Oct 2013 - Mar 2014	175189
Mushishi Special: Hihamukage	1	Jan 2014 - Jan 2014	36338
Rainbow: Nisha Rokubou no Shichinin	26	Apr 2010 - Sep 2010	98075
Tengen Toppa Gurren Lagann Movie: Lagann-hen	1	Apr 2009 - Apr 2009	63840